time,"I(I2)","P(B2)","V(2)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.500000e-13,0.000000e+00,3.390965e-03,1.017222e-05
5.000000e-13,0.000000e+00,1.389470e-02,8.826105e-06
7.500000e-13,0.000000e+00,3.372453e-02,2.049305e-05
1.000000e-12,0.000000e+00,6.278301e-02,3.231288e-05
1.250000e-12,0.000000e+00,9.894786e-02,4.180892e-05
1.500000e-12,0.000000e+00,1.390129e-01,4.752996e-05
1.750000e-12,0.000000e+00,1.798032e-01,4.933354e-05
2.000000e-12,0.000000e+00,2.190538e-01,4.817271e-05
2.250000e-12,0.000000e+00,2.558230e-01,4.557723e-05
2.500000e-12,0.000000e+00,2.904162e-01,4.306982e-05
2.750000e-12,0.000000e+00,3.239561e-01,4.171904e-05
3.000000e-12,0.000000e+00,3.578164e-01,4.193756e-05
3.250000e-12,0.000000e+00,3.931253e-01,4.353077e-05
3.500000e-12,0.000000e+00,4.304749e-01,4.592067e-05
3.750000e-12,0.000000e+00,4.698781e-01,4.843278e-05
4.000000e-12,0.000000e+00,5.109229e-01,5.054055e-05
4.250000e-12,0.000000e+00,5.530274e-01,5.200096e-05
4.500000e-12,0.000000e+00,5.956896e-01,5.286614e-05
4.750000e-12,0.000000e+00,6.386550e-01,5.339927e-05
5.000000e-12,0.000000e+00,6.819703e-01,5.394659e-05
5.250000e-12,0.000000e+00,7.225458e-01,4.464549e-05
5.500000e-12,0.000000e+00,7.567135e-01,3.674261e-05
5.750000e-12,0.000000e+00,7.819372e-01,2.561039e-05
6.000000e-12,0.000000e+00,7.975943e-01,1.345463e-05
6.250000e-12,0.000000e+00,8.048966e-01,2.501793e-06
6.500000e-12,0.000000e+00,8.062782e-01,-5.657982e-06
6.750000e-12,0.000000e+00,8.045848e-01,-1.036984e-05
7.000000e-12,0.000000e+00,8.023377e-01,-1.188317e-05
7.250000e-12,0.000000e+00,8.012466e-01,-1.108871e-05
7.500000e-12,0.000000e+00,8.020392e-01,-9.150478e-06
7.750000e-12,0.000000e+00,8.045743e-01,-7.153810e-06
8.000000e-12,0.000000e+00,8.081417e-01,-5.857675e-06
8.250000e-12,0.000000e+00,8.118277e-01,-5.590921e-06
8.500000e-12,0.000000e+00,8.148359e-01,-6.284636e-06
8.750000e-12,0.000000e+00,8.166916e-01,-7.598851e-06
9.000000e-12,0.000000e+00,8.173063e-01,-9.087574e-06
9.250000e-12,0.000000e+00,8.169193e-01,-1.035010e-05
9.500000e-12,0.000000e+00,8.159619e-01,-1.113257e-05
9.750000e-12,0.000000e+00,8.148997e-01,-1.136509e-05
1.000000e-11,0.000000e+00,8.141003e-01,-1.113946e-05
1.025000e-11,1.500000e-06,8.137798e-01,-1.058200e-05
1.050000e-11,3.000000e-06,8.139917e-01,-9.930133e-06
1.075000e-11,4.500000e-06,8.146644e-01,-9.323553e-06
1.100000e-11,6.000000e-06,8.156590e-01,-8.865013e-06
1.125000e-11,7.500000e-06,8.168240e-01,-8.591332e-06
1.150000e-11,9.000000e-06,8.180329e-01,-8.487214e-06
1.175000e-11,1.050000e-05,8.192010e-01,-8.507111e-06
1.200000e-11,1.200000e-05,8.202870e-01,-8.595870e-06
1.225000e-11,1.350000e-05,8.212855e-01,-8.703318e-06
1.250000e-11,1.500000e-05,8.222156e-01,-8.792017e-06
1.275000e-11,1.650000e-05,8.231105e-01,-8.839793e-06
