time,"V(VIN)","I(ROUT)","P(B01)","P(B02)"
0.000000e+00,0.000000e+00,0.000000e+00,-0.000000e+00,0.000000e+00
2.500000e-13,0.000000e+00,6.636509e-07,2.899951e-03,2.923977e-03
5.000000e-13,0.000000e+00,1.963239e-06,1.130820e-02,1.150191e-02
7.500000e-13,0.000000e+00,3.931372e-06,2.615879e-02,2.691635e-02
1.000000e-12,0.000000e+00,6.352259e-06,4.650288e-02,4.856039e-02
1.250000e-12,0.000000e+00,8.883856e-06,7.016312e-02,7.460258e-02
1.500000e-12,0.000000e+00,1.119620e-05,9.467237e-02,1.028169e-01
1.750000e-12,0.000000e+00,1.306925e-05,1.180767e-01,1.313045e-01
2.000000e-12,0.000000e+00,1.442942e-05,1.393699e-01,1.589077e-01
2.250000e-12,0.000000e+00,1.533178e-05,1.585212e-01,1.852864e-01
2.500000e-12,0.000000e+00,1.590988e-05,1.762000e-01,2.107379e-01
2.750000e-12,0.000000e+00,1.631792e-05,1.933666e-01,2.358942e-01
3.000000e-12,0.000000e+00,1.668458e-05,2.108929e-01,2.614215e-01
3.250000e-12,0.000000e+00,1.708811e-05,2.293210e-01,2.878081e-01
3.500000e-12,0.000000e+00,1.755325e-05,2.487930e-01,3.152722e-01
3.750000e-12,0.000000e+00,1.806395e-05,2.691245e-01,3.437779e-01
4.000000e-12,0.000000e+00,1.858336e-05,2.899579e-01,3.731206e-01
4.250000e-12,0.000000e+00,1.907321e-05,3.109231e-01,4.030349e-01
4.500000e-12,0.000000e+00,1.950718e-05,3.317557e-01,4.332883e-01
4.750000e-12,0.000000e+00,1.987655e-05,3.523482e-01,4.637370e-01
5.000000e-12,0.000000e+00,2.018893e-05,3.727372e-01,4.943423e-01
5.250000e-12,0.000000e+00,1.979898e-05,3.901522e-01,5.222290e-01
5.500000e-12,0.000000e+00,1.873593e-05,4.020548e-01,5.446142e-01
5.750000e-12,0.000000e+00,1.695739e-05,4.075088e-01,5.601822e-01
6.000000e-12,0.000000e+00,1.466370e-05,4.073963e-01,5.693519e-01
6.250000e-12,0.000000e+00,1.218672e-05,4.038130e-01,5.737852e-01
6.500000e-12,0.000000e+00,9.859985e-06,3.991813e-01,5.756264e-01
6.750000e-12,0.000000e+00,7.922855e-06,3.954755e-01,5.768147e-01
7.000000e-12,0.000000e+00,6.478870e-06,3.937822e-01,5.786540e-01
7.250000e-12,0.000000e+00,5.504142e-06,3.942424e-01,5.816833e-01
7.500000e-12,0.000000e+00,4.888338e-06,3.962884e-01,5.857902e-01
7.750000e-12,0.000000e+00,4.487004e-06,3.990222e-01,5.904633e-01
8.000000e-12,0.000000e+00,4.167510e-06,4.015825e-01,5.950708e-01
8.250000e-12,0.000000e+00,3.838120e-06,4.033934e-01,5.990846e-01
8.500000e-12,0.000000e+00,3.457541e-06,4.042548e-01,6.022052e-01
8.750000e-12,0.000000e+00,3.028321e-06,4.042942e-01,6.043865e-01
9.000000e-12,0.000000e+00,2.580751e-06,4.038330e-01,6.057827e-01
9.250000e-12,0.000000e+00,2.154386e-06,4.032351e-01,6.066562e-01
9.500000e-12,0.000000e+00,1.782820e-06,4.027863e-01,6.072825e-01
9.750000e-12,0.000000e+00,1.484767e-06,4.026332e-01,6.078777e-01
1.000000e-11,0.000000e+00,1.261996e-06,4.027822e-01,6.085629e-01
1.025000e-11,0.000000e+00,1.102633e-06,4.031409e-01,6.093638e-01
1.050000e-11,0.000000e+00,9.873839e-07,4.035762e-01,6.102355e-01
1.075000e-11,0.000000e+00,8.961325e-07,4.039679e-01,6.110989e-01
1.100000e-11,0.000000e+00,8.129833e-07,4.042415e-01,6.118763e-01
1.125000e-11,0.000000e+00,7.288064e-07,4.043768e-01,6.125155e-01
1.150000e-11,0.000000e+00,6.412713e-07,4.043985e-01,6.129996e-01
1.175000e-11,0.000000e+00,5.530567e-07,4.043545e-01,6.133444e-01
1.200000e-11,0.000000e+00,4.692335e-07,4.042952e-01,6.135864e-01
1.225000e-11,0.000000e+00,3.947734e-07,4.042576e-01,6.137688e-01
1.250000e-11,0.000000e+00,3.328370e-07,4.042587e-01,6.139287e-01
1.275000e-11,0.000000e+00,2.840988e-07,4.042968e-01,6.140897e-01
1.300000e-11,0.000000e+00,2.470057e-07,4.043585e-01,6.142602e-01
1.325000e-11,0.000000e+00,2.186297e-07,4.044259e-01,6.144366e-01
1.350000e-11,0.000000e+00,1.957020e-07,4.044845e-01,6.146081e-01
1.375000e-11,0.000000e+00,1.754776e-07,4.045259e-01,6.147632e-01
1.400000e-11,0.000000e+00,1.562277e-07,4.045488e-01,6.148937e-01
1.425000e-11,0.000000e+00,1.373180e-07,4.045572e-01,6.149967e-01
1.450000e-11,0.000000e+00,1.189650e-07,4.045574e-01,6.150746e-01
1.475000e-11,0.000000e+00,1.018293e-07,4.045557e-01,6.151333e-01
1.500000e-11,0.000000e+00,8.660942e-08,4.045562e-01,6.151796e-01
1.525000e-11,0.000000e+00,7.375091e-08,4.045608e-01,6.152199e-01
1.550000e-11,0.000000e+00,6.332365e-08,4.045691e-01,6.152581e-01
1.575000e-11,0.000000e+00,5.505284e-08,4.045795e-01,6.152960e-01
1.600000e-11,0.000000e+00,4.844978e-08,4.045899e-01,6.153332e-01
1.625000e-11,0.000000e+00,4.297434e-08,4.045990e-01,6.153683e-01
1.650000e-11,0.000000e+00,3.817089e-08,4.046057e-01,6.153998e-01
1.675000e-11,0.000000e+00,3.374462e-08,4.046102e-01,6.154265e-01
1.700000e-11,0.000000e+00,2.957220e-08,4.046128e-01,6.154481e-01
1.725000e-11,0.000000e+00,2.566221e-08,4.046144e-01,6.154652e-01
1.750000e-11,0.000000e+00,2.209140e-08,4.046155e-01,6.154788e-01
1.775000e-11,0.000000e+00,1.894241e-08,4.046167e-01,6.154900e-01
1.800000e-11,0.000000e+00,1.626072e-08,4.046182e-01,6.154998e-01
1.825000e-11,0.000000e+00,1.403773e-08,4.046198e-01,6.155087e-01
1.850000e-11,0.000000e+00,1.221683e-08,4.046216e-01,6.155172e-01
1.875000e-11,0.000000e+00,1.071376e-08,4.046233e-01,6.155252e-01
1.900000e-11,0.000000e+00,9.440371e-09,4.046248e-01,6.155325e-01
1.925000e-11,0.000000e+00,8.323726e-09,4.046261e-01,6.155389e-01
1.950000e-11,0.000000e+00,7.315849e-09,4.046270e-01,6.155444e-01
1.975000e-11,0.000000e+00,6.394014e-09,4.046278e-01,6.155490e-01
2.000000e-11,0.000000e+00,5.554202e-09,4.046283e-01,6.155528e-01
2.025000e-11,0.000000e+00,4.801694e-09,4.046287e-01,6.155559e-01
2.050000e-11,0.000000e+00,4.142405e-09,4.046291e-01,6.155585e-01
2.075000e-11,0.000000e+00,3.577267e-09,4.046294e-01,6.155608e-01
2.100000e-11,0.000000e+00,3.100324e-09,4.046298e-01,6.155628e-01
2.125000e-11,0.000000e+00,2.699902e-09,4.046301e-01,6.155647e-01
2.150000e-11,0.000000e+00,2.361481e-09,4.046304e-01,6.155664e-01
2.175000e-11,0.000000e+00,2.070829e-09,4.046307e-01,6.155679e-01
2.200000e-11,0.000000e+00,1.816321e-09,4.046310e-01,6.155693e-01
2.225000e-11,0.000000e+00,1.589985e-09,4.046312e-01,6.155705e-01
2.250000e-11,0.000000e+00,1.387320e-09,4.046314e-01,6.155714e-01
2.275000e-11,0.000000e+00,1.206322e-09,4.046315e-01,6.155723e-01
2.300000e-11,0.000000e+00,1.046227e-09,4.046316e-01,6.155729e-01
2.325000e-11,0.000000e+00,9.064324e-10,4.046317e-01,6.155735e-01
2.350000e-11,0.000000e+00,7.858333e-10,4.046318e-01,6.155741e-01
2.375000e-11,0.000000e+00,6.826330e-10,4.046318e-01,6.155745e-01
2.400000e-11,0.000000e+00,5.945051e-10,4.046319e-01,6.155749e-01
2.425000e-11,0.000000e+00,5.189378e-10,4.046320e-01,6.155753e-01
2.450000e-11,0.000000e+00,4.535855e-10,4.046320e-01,6.155756e-01
2.475000e-11,0.000000e+00,3.965120e-10,4.046321e-01,6.155759e-01
2.500000e-11,0.000000e+00,3.462817e-10,4.046321e-01,6.155762e-01
2.525000e-11,0.000000e+00,3.019179e-10,4.046322e-01,6.155764e-01
2.550000e-11,0.000000e+00,2.627777e-10,4.046322e-01,6.155766e-01
2.575000e-11,0.000000e+00,2.284060e-10,4.046322e-01,6.155767e-01
2.600000e-11,0.000000e+00,1.984124e-10,4.046322e-01,6.155769e-01
2.625000e-11,0.000000e+00,1.723970e-10,4.046323e-01,6.155770e-01
2.650000e-11,0.000000e+00,1.499250e-10,4.046323e-01,6.155771e-01
2.675000e-11,0.000000e+00,1.305392e-10,4.046323e-01,6.155772e-01
2.700000e-11,0.000000e+00,1.137896e-10,4.046323e-01,6.155772e-01
2.725000e-11,0.000000e+00,9.926477e-11,4.046323e-01,6.155773e-01
2.750000e-11,0.000000e+00,8.661341e-11,4.046323e-01,6.155774e-01
2.775000e-11,0.000000e+00,7.555149e-11,4.046323e-01,6.155774e-01
2.800000e-11,0.000000e+00,6.585749e-11,4.046323e-01,6.155775e-01
2.825000e-11,0.000000e+00,5.735982e-11,4.046324e-01,6.155775e-01
2.850000e-11,0.000000e+00,4.992176e-11,4.046324e-01,6.155776e-01
2.875000e-11,0.000000e+00,4.342804e-11,4.046324e-01,6.155776e-01
2.900000e-11,0.000000e+00,3.777522e-11,4.046324e-01,6.155776e-01
2.925000e-11,0.000000e+00,3.286650e-11,4.046324e-01,6.155776e-01
2.950000e-11,0.000000e+00,2.861008e-11,4.046324e-01,6.155777e-01
2.975000e-11,0.000000e+00,2.491989e-11,4.046324e-01,6.155777e-01
3.000000e-11,0.000000e+00,2.171729e-11,4.046324e-01,6.155777e-01
3.025000e-11,0.000000e+00,1.893258e-11,4.046324e-01,6.155777e-01
3.050000e-11,0.000000e+00,1.650592e-11,4.046324e-01,6.155777e-01
3.075000e-11,0.000000e+00,1.438726e-11,4.046324e-01,6.155777e-01
3.100000e-11,0.000000e+00,1.253539e-11,4.046324e-01,6.155777e-01
3.125000e-11,0.000000e+00,1.091653e-11,4.046324e-01,6.155777e-01
3.150000e-11,0.000000e+00,9.502609e-12,4.046324e-01,6.155777e-01
3.175000e-11,0.000000e+00,8.269657e-12,4.046324e-01,6.155777e-01
3.200000e-11,0.000000e+00,7.196514e-12,4.046324e-01,6.155778e-01
3.225000e-11,0.000000e+00,6.263979e-12,4.046324e-01,6.155778e-01
3.250000e-11,0.000000e+00,5.454383e-12,4.046324e-01,6.155778e-01
3.275000e-11,0.000000e+00,4.751513e-12,4.046324e-01,6.155778e-01
3.300000e-11,0.000000e+00,4.140726e-12,4.046324e-01,6.155778e-01
3.325000e-11,0.000000e+00,3.609119e-12,4.046324e-01,6.155778e-01
3.350000e-11,0.000000e+00,3.145619e-12,4.046324e-01,6.155778e-01
3.375000e-11,0.000000e+00,2.740945e-12,4.046324e-01,6.155778e-01
3.400000e-11,0.000000e+00,2.387420e-12,4.046324e-01,6.155778e-01
3.425000e-11,0.000000e+00,2.078682e-12,4.046324e-01,6.155778e-01
3.450000e-11,0.000000e+00,1.809365e-12,4.046324e-01,6.155778e-01
3.475000e-11,0.000000e+00,1.574805e-12,4.046324e-01,6.155778e-01
3.500000e-11,0.000000e+00,1.370829e-12,4.046324e-01,6.155778e-01
3.525000e-11,0.000000e+00,1.193623e-12,4.046324e-01,6.155778e-01
3.550000e-11,0.000000e+00,1.039702e-12,4.046324e-01,6.155778e-01
3.575000e-11,0.000000e+00,9.059156e-13,4.046324e-01,6.155778e-01
3.600000e-11,0.000000e+00,7.894793e-13,4.046324e-01,6.155778e-01
3.625000e-11,0.000000e+00,6.879937e-13,4.046324e-01,6.155778e-01
3.650000e-11,0.000000e+00,5.994349e-13,4.046324e-01,6.155778e-01
3.675000e-11,0.000000e+00,5.221169e-13,4.046324e-01,6.155778e-01
3.700000e-11,0.000000e+00,4.546314e-13,4.046324e-01,6.155778e-01
3.725000e-11,0.000000e+00,3.957835e-13,4.046324e-01,6.155778e-01
3.750000e-11,0.000000e+00,3.445330e-13,4.046324e-01,6.155778e-01
3.775000e-11,0.000000e+00,2.999518e-13,4.046324e-01,6.155778e-01
3.800000e-11,0.000000e+00,2.611998e-13,4.046324e-01,6.155778e-01
3.825000e-11,0.000000e+00,2.275168e-13,4.046324e-01,6.155778e-01
3.850000e-11,0.000000e+00,1.982218e-13,4.046324e-01,6.155778e-01
3.875000e-11,0.000000e+00,1.727175e-13,4.046324e-01,6.155778e-01
3.900000e-11,0.000000e+00,1.504890e-13,4.046324e-01,6.155778e-01
3.925000e-11,0.000000e+00,1.311002e-13,4.046324e-01,6.155778e-01
3.950000e-11,0.000000e+00,1.141841e-13,4.046324e-01,6.155778e-01
3.975000e-11,0.000000e+00,9.942961e-14,4.046324e-01,6.155778e-01
4.000000e-11,0.000000e+00,8.657031e-14,4.046324e-01,6.155778e-01
4.025000e-11,0.000000e+00,7.537310e-14,4.046324e-01,6.155778e-01
4.050000e-11,0.000000e+00,6.563058e-14,4.046324e-01,6.155778e-01
4.075000e-11,0.000000e+00,5.715696e-14,4.046324e-01,6.155778e-01
4.100000e-11,0.000000e+00,4.978638e-14,4.046324e-01,6.155778e-01
4.125000e-11,0.000000e+00,4.337197e-14,4.046324e-01,6.155778e-01
4.150000e-11,0.000000e+00,3.778581e-14,4.046324e-01,6.155778e-01
4.175000e-11,0.000000e+00,3.291762e-14,4.046324e-01,6.155778e-01
4.200000e-11,0.000000e+00,2.867324e-14,4.046324e-01,6.155778e-01
4.225000e-11,0.000000e+00,2.497244e-14,4.046324e-01,6.155778e-01
4.250000e-11,0.000000e+00,2.174693e-14,4.046324e-01,6.155778e-01
4.275000e-11,0.000000e+00,1.893653e-14,4.046324e-01,6.155778e-01
4.300000e-11,0.000000e+00,1.648972e-14,4.046324e-01,6.155778e-01
4.325000e-11,0.000000e+00,1.435991e-14,4.046324e-01,6.155778e-01
4.350000e-11,0.000000e+00,1.250666e-14,4.046324e-01,6.155778e-01
4.375000e-11,0.000000e+00,1.089369e-14,4.046324e-01,6.155778e-01
4.400000e-11,0.000000e+00,9.489311e-15,4.046324e-01,6.155778e-01
4.425000e-11,0.000000e+00,8.266125e-15,4.046324e-01,6.155778e-01
4.450000e-11,0.000000e+00,7.200345e-15,4.046324e-01,6.155778e-01
4.475000e-11,0.000000e+00,6.271583e-15,4.046324e-01,6.155778e-01
4.500000e-11,0.000000e+00,5.461971e-15,4.046324e-01,6.155778e-01
4.525000e-11,0.000000e+00,4.756713e-15,4.046324e-01,6.155778e-01
4.550000e-11,0.000000e+00,4.142434e-15,4.046324e-01,6.155778e-01
4.575000e-11,0.000000e+00,3.607626e-15,4.046324e-01,6.155778e-01
4.600000e-11,0.000000e+00,3.141875e-15,4.046324e-01,6.155778e-01
4.625000e-11,0.000000e+00,2.736302e-15,4.046324e-01,6.155778e-01
4.650000e-11,0.000000e+00,2.383454e-15,4.046324e-01,6.155778e-01
4.675000e-11,0.000000e+00,2.076095e-15,4.046324e-01,6.155778e-01
4.700000e-11,0.000000e+00,1.808307e-15,4.046324e-01,6.155778e-01
4.725000e-11,0.000000e+00,1.575048e-15,4.046324e-01,6.155778e-01
4.750000e-11,0.000000e+00,1.371713e-15,4.046324e-01,6.155778e-01
4.775000e-11,0.000000e+00,1.194906e-15,4.046324e-01,6.155778e-01
4.800000e-11,0.000000e+00,1.040569e-15,4.046324e-01,6.155778e-01
4.825000e-11,0.000000e+00,9.062911e-16,4.046324e-01,6.155778e-01
4.850000e-11,0.000000e+00,7.893326e-16,4.046324e-01,6.155778e-01
4.875000e-11,0.000000e+00,6.873913e-16,4.046324e-01,6.155778e-01
4.900000e-11,0.000000e+00,5.986037e-16,4.046324e-01,6.155778e-01
4.925000e-11,0.000000e+00,5.214353e-16,4.046324e-01,6.155778e-01
4.950000e-11,0.000000e+00,4.541321e-16,4.046324e-01,6.155778e-01
4.975000e-11,0.000000e+00,3.955980e-16,4.046324e-01,6.155778e-01
5.000000e-11,0.000000e+00,3.445178e-16,4.046324e-01,6.155778e-01
5.025000e-11,0.000000e+00,3.000144e-16,4.046324e-01,6.155778e-01
5.050000e-11,0.000000e+00,2.614301e-16,4.046324e-01,6.155778e-01
5.075000e-11,0.000000e+00,2.275593e-16,4.046324e-01,6.155778e-01
5.100000e-11,0.000000e+00,1.981827e-16,4.046324e-01,6.155778e-01
